specie,longitude,latitude
Diglossa baritula baritula,-97.54473,19.98442
Diglossa baritula baritula,-97.224,19.843105
Diglossa baritula baritula,-103.69017,19.417645
Diglossa baritula baritula,-97.03945,19.396034
Diglossa baritula baritula,-101.4613,19.164364
Diglossa baritula baritula,-96.966548,19.148235
Diglossa baritula baritula,-96.92303,18.950611
Diglossa baritula baritula,-99.26369,18.65317
Diglossa baritula baritula,-96.662476,17.827145
Diglossa baritula baritula,-99.68065,17.767445
Diglossa baritula baritula,-96.29213,17.569601
Diglossa baritula baritula,-97.80652,17.031673
Diglossa baritula baritula,-104.32333,19.8
Diglossa baritula baritula,-99.16382,21.469728
Diglossa baritula baritula,-99.587875,21.192678
Diglossa baritula baritula,-100.18124,20.923044
Diglossa baritula baritula,-100.050967,20.781281
Diglossa baritula baritula,-104.85217,20.761244
Diglossa baritula baritula,-100.38359,20.607676
Diglossa baritula baritula,-103.436455,20.363754
Diglossa baritula baritula,-98.22038,20.34319
Diglossa baritula baritula,-100.269951,20.2715
Diglossa baritula baritula,-98.79181,20.184656
Diglossa baritula baritula,-104.51638,20.139349
Diglossa baritula baritula,-97.984474,20.033395
Diglossa baritula baritula,-100.693073,19.973331
Diglossa baritula baritula,-101.10873,19.957537
Diglossa baritula baritula,-98.15058,19.930832
Diglossa baritula baritula,-103.04931,19.898256
Diglossa baritula baritula,-99.13761,19.894768
Diglossa baritula baritula,-103.725296,19.846228
Diglossa baritula baritula,-101.98568,19.8417
Diglossa baritula baritula,-99.635376,19.82643
Diglossa baritula baritula,-102.31947,19.798332
Diglossa baritula baritula,-100.155533,19.793208
Diglossa baritula baritula,-99.46193,19.727522
Diglossa baritula baritula,-96.9278,19.724533
Diglossa baritula baritula,-103.41714,19.700132
Diglossa baritula baritula,-98.84571,19.693426
Diglossa baritula baritula,-100.91128,19.685522
Diglossa baritula baritula,-100.741585,19.681303
Diglossa baritula baritula,-97.1173,19.672722
Diglossa baritula baritula,-101.08127,19.658802
Diglossa baritula baritula,-99.25585,19.629322
Diglossa baritula baritula,-101.757225,19.619267
Diglossa baritula baritula,-100.29244,19.614178
Diglossa baritula baritula,-97.37008,19.60591
Diglossa baritula baritula,-99.054245,19.592157
Diglossa baritula baritula,-100.605833,19.575556
Diglossa baritula baritula,-96.97328,19.554457
Diglossa baritula baritula,-99.5263,19.54579
Diglossa baritula baritula,-102.23396,19.53957
Diglossa baritula baritula,-99.36316,19.49631
Diglossa baritula baritula,-98.60099,19.45772
Diglossa baritula baritula,-101.72628,19.451748
Diglossa baritula baritula,-101.98918,19.451632
Diglossa baritula baritula,-98.77304,19.446224
Diglossa baritula baritula,-103.950094,19.444968
Diglossa baritula baritula,-101.50923,19.43672
Diglossa baritula baritula,-99.79783,19.354069
Diglossa baritula baritula,-98.288611,19.350278
Diglossa baritula baritula,-100.292755,19.348864
Diglossa baritula baritula,-102.349167,19.338333
Diglossa baritula baritula,-98.89319,19.317621
Diglossa baritula baritula,-99.474365,19.288822
Diglossa baritula baritula,-98.53705,19.25488
Diglossa baritula baritula,-98.100658,19.23967
Diglossa baritula baritula,-98.73182,19.211786
