specie,longitude,latitude
Diglossa baritula montana,-90.089435,15.645027
Diglossa baritula montana,-92.53292,15.4252
Diglossa baritula montana,-91.15595,14.536745
Diglossa baritula montana,-93.14163,17.16613
Diglossa baritula montana,-92.69638889,16.72785278
Diglossa baritula montana,-92.08333333,15.06666667
Diglossa baritula montana,-91,14.76667
Diglossa baritula montana,-91.535,14.7166667
Diglossa baritula montana,-92.916667,17.241667
Diglossa baritula montana,-92.36771,17.143343
Diglossa baritula montana,-92.89005,17.047243
Diglossa baritula montana,-92.02063,16.98106
Diglossa baritula montana,-92.12963,16.84033
Diglossa baritula montana,-92.61442,16.74287
Diglossa baritula montana,-92.80575,16.739582
Diglossa baritula montana,-92.19656,16.667652
Diglossa baritula montana,-92.541306,16.556803
Diglossa baritula montana,-92.406944,16.4375
Diglossa baritula montana,-91.86381823,16.38411618
Diglossa baritula montana,-92.18322,16.292446
Diglossa baritula montana,-91.855,16.201667
Diglossa baritula montana,-92.10629,16.141113
Diglossa baritula montana,-91.67995,16.106886
Diglossa baritula montana,-91.56931,15.957632
Diglossa baritula montana,-91.31074,15.830718
Diglossa baritula montana,-92.99101,15.776451
Diglossa baritula montana,-91.22838,15.68203
Diglossa baritula montana,-92.80486,15.642378
Diglossa baritula montana,-90.27353,15.613624
Diglossa baritula montana,-91.63777,15.583511
Diglossa baritula montana,-91.377686,15.574921
Diglossa baritula montana,-91.02413,15.495943
Diglossa baritula montana,-91.93246,15.48427
Diglossa baritula montana,-90.777084,15.46773
Diglossa baritula montana,-92.28065,15.464228
Diglossa baritula montana,-91.512886,15.463141
Diglossa baritula montana,-90.32227,15.439358
Diglossa baritula montana,-90.06193,15.385967
Diglossa baritula montana,-90.498184,15.378962
Diglossa baritula montana,-91.77818,15.310254
Diglossa baritula montana,-90.24771,15.230377
Diglossa baritula montana,-91.848404,15.145575
Diglossa baritula montana,-89.948814,15.085793
Diglossa baritula montana,-90.9115,15.0784
Diglossa baritula montana,-89.68714,15.068927
Diglossa baritula montana,-91.54043,14.98724
Diglossa baritula montana,-91.874054,14.938507
Diglossa baritula montana,-91.11128,14.935798
Diglossa baritula montana,-91.32825,14.934299
Diglossa baritula montana,-91.55914,14.770529
Diglossa baritula montana,-91.293915,14.749286
Diglossa baritula montana,-89.93004,14.73408
Diglossa baritula montana,-90.61659,14.708033
Diglossa baritula montana,-90.88157,14.578707
Diglossa baritula montana,-90.460887,14.569368
Diglossa baritula montana,-90.15515,14.536195
Diglossa baritula montana,-90.6774,14.527141
Diglossa baritula montana,-89.780126,14.40648
Diglossa baritula montana,-90.60107,14.341422
Diglossa baritula montana,-89.84767,13.863274
Diglossa baritula montana,-89.62149,13.825412
Diglossa baritula montana,-89.27998,13.737874
Diglossa baritula montana,-93.12125,17.18758
Diglossa baritula montana,-92.8999,17.1599
Diglossa baritula montana,-92.4461,16.5
Diglossa baritula montana,-92.30463,15.23541
Diglossa baritula montana,-92.10833333,15.13166667
Diglossa baritula montana,-91.21666,14.86666
Diglossa baritula montana,-91.0167,14.8
Diglossa baritula montana,-90.66667,14.61667
Diglossa baritula montana,-88.84,13.6
Diglossa baritula montana,-88.272,13.442
