specie,longitude,latitude
Diglossa baritula parva,-86.911964,15.556596
Diglossa baritula parva,-88.1265,15.516185
Diglossa baritula parva,-85.49312,15.45954
Diglossa baritula parva,-86.30268,15.106821
Diglossa baritula parva,-86.73673,15.102667
Diglossa baritula parva,-88.10536,14.9068
Diglossa baritula parva,-85.94587,14.89579
Diglossa baritula parva,-88.563805,14.733091
Diglossa baritula parva,-88.3515,14.63781
Diglossa baritula parva,-88.62899,14.564516
Diglossa baritula parva,-88.80308,14.50003
Diglossa baritula parva,-87.89596,14.487392
Diglossa baritula parva,-87.419785,14.386987
Diglossa baritula parva,-88.136723,14.30327
Diglossa baritula parva,-88.53832,14.20013
Diglossa baritula parva,-87.81739,14.186296
Diglossa baritula parva,-87.077324,14.146175
Diglossa baritula parva,-87.39753,14.141025
Diglossa baritula parva,-88.01786,14.110061
Diglossa baritula parva,-86.72359,14.1076
Diglossa baritula parva,-87.8767,14.004574
Diglossa baritula parva,-86.85731,13.935119
Diglossa baritula parva,-86.40112,13.75699
Diglossa baritula parva,-86.60943,13.341911
Diglossa baritula parva,-86.25164,13.24636
Diglossa baritula parva,-86.04533,13.239764
Diglossa baritula parva,-85.79597,13.115175
Diglossa baritula parva,-86.37934,12.971027
Diglossa baritula parva,-88.75,14.516667
Diglossa baritula parva,-87.78333,14.43333
Diglossa baritula parva,-89.33404,14.406158
Diglossa baritula parva,-89.23333,14.4
Diglossa baritula parva,-89.12899,14.38306
Diglossa baritula parva,-86.835,14.383
Diglossa baritula parva,-87.2946,14.3423
Diglossa baritula parva,-87.4,14.33333
Diglossa baritula parva,-89.11667,14.28333
Diglossa baritula parva,-87.957242,14.236378
Diglossa baritula parva,-87.913411,14.220453
Diglossa baritula parva,-88.90309,14.138196
Diglossa baritula parva,-87.1691,13.9388
Diglossa baritula parva,-89.13132,14.857279
Diglossa baritula parva,-86.816667,14.566667
